No.,Quantity,Comment,Designator,Footprint,Value,Manufacturer Part,Manufacturer,Supplier Part,Supplier,JLCPCB Price
1,9,100nF,"C1,C6,C8,C20,C22,C23,C25,C26,C29",C0603,100nF,CC0603KRX7R9BB104,YAGEO(国巨),C14663,LCSC,0.0005
2,3,1uF,"C2,C17,C19",C0603,1uF,CL10A105KB8NNNC,SAMSUNG(三星),C15849,LCSC,0.0012
3,2,22pF,"C3,C4",C0603,22pF,CL10C220JB8NNNC,SAMSUNG(三星),C1653,LCSC,0.0006
4,6,10uF,"C5,C7,C21,C24,C27,C28",C0603,10uF,CL10A106KP8NNNC,SAMSUNG(三星),C19702,LCSC,0.0012
5,6,2.2uF,"C9,C10,C11,C12,C14,C16",C0603,2.2uF,CL10A225KO8NNNC,SAMSUNG(三星),C23630,LCSC,0.001
6,1,10nF,C18,C0603,10nF,0603B103K500NT,FH(风华),C57112,LCSC,0.0005
7,1,1uF,C30,C1206,1uF,CL31B105KBHNNNE,SAMSUNG(三星),C1848,LCSC,0.0042
8,1,PJ-320D,CN1,AUDIO-SMD_PJ-320D-1,,PJ-320D,SHOU HAN(首韩),C431535,LCSC,0.0077
9,1,1N5819HW-7-F,D1,SOD-123_L2.7-W1.6-LS3.7-RD,,1N5819HW-7-F,DIODES(美台),C82544,LCSC,0.005
10,3,SMF6.0CA,"D3,D4,D5",SOD-123FL_L2.7-W1.8-LS3.8-BI,,SMF6.0CA,R+O(宏嘉诚),C19077500,LCSC,0.0045
11,1,2.54-1*4P母,H1,HDR-TH_4P-P2.54-V-F,,2.54-1*4P母,BOOMELE(博穆精密),C2718488,LCSC,0.0112
12,3,ME6211C33M5G-N,"LDO1,LDO2,LDO3",SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,,ME6211C33M5G-N,MICRONE(南京微盟),C82942,LCSC,0.0073
13,2,KT-0603R,"LED1,LED2",LED0603-RD,,KT-0603R,KENTO,C2286,LCSC,0.001
14,2,22Ω,"R5,R6",R0603,22Ω,0603WAF220JT5E,UNI-ROYAL(厚声),C23345,LCSC,0.0002
15,2,5.1kΩ,"R7,R8",R0805,5.1kΩ,0805W8F5101T5E,UNI-ROYAL(厚声),C27834,LCSC,0.0004
16,1,100Ω,R9,R0603,100Ω,0603WAF1000T5E,UNI-ROYAL(厚声),C22775,LCSC,0.0002
17,1,1kΩ,R10,R0603,1kΩ,0603WAF1001T5E,UNI-ROYAL(厚声),C21190,LCSC,0.0003
18,2,470Ω,"R11,R12",R0603,470Ω,0603WAF4700T5E,UNI-ROYAL(厚声),C23179,LCSC,0.0003
19,2,4.7kΩ,"R13,R14",R0603,4.7kΩ,0603WAF4701T5E,UNI-ROYAL(厚声),C23162,LCSC,0.0002
20,4,220Ω,"R15,R16,R17,R18",R0603,220Ω,0603WAF2200T5E,UNI-ROYAL(厚声),C22962,LCSC,0.0002
21,1,DSIC01LSGET,SW1,SW-SMD_DSIC01LSGET,,DSIC01LSGET,YE,C54948,LCSC,0.0637
22,1,ESP32-C3FH4,U2,QFN-32_L5.0-W5.0-P0.50-TL-EP3.7,,ESP32-C3FH4,ESPRESSIF(乐鑫),C2858491,LCSC,0.3472
23,1,PCM5102APWR,U3,TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL,,PCM5102APWR,TI(德州仪器),C107671,LCSC,0.1634
24,1,TPA6132A2RTER,U6,WQFN-16_L3.0-W3.0-P0.50-TL-EP1.6,,TPA6132A2RTER,TI(德州仪器),C69901,LCSC,0.1991
25,1,TYPE-C-31-M-12,USBC1,USB-C_SMD-TYPE-C-31-M-12_1,,TYPE-C-31-M-12,韩国韩荣,C165948,LCSC,0.027
https://www.lcsc.com/,,,,,,,,,,
